caso,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year
220,Q5859411,Fernando Coniglio,Laborde,Córdoba,Laborde,<10k,resto,1991
221,Q124371651,Jonás Luna,Ciudad de Santiago del Estero,Santiago del Estero,Santiago del Estero,100–500k,resto,2005
222,Q6042146,Nicolás Castro,Azul,Buenos Aires,Azul,50–100k,resto,1989
223,Q5444846,Fernando Méndez,Caleta Olivia,Santa Cruz,Caleta Olivia,50–100k,resto,1984
224,Q244894,Lucho González,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1981
225,Q104668423,Alan Murialdo,Del Campillo,Córdoba,Del Campillo,<10k,resto,1992
226,Q30110097,Juan Manuel Leroyer,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1991
227,Q5952693,Juan Torres Mozzoni,Manfredi (Córdoba),Córdoba,Manfredi,<10k,resto,1981
228,Q6696072,Lucas Abraham,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1979
229,Q16584523,Juan Cruz Goycochea,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1991
230,Q107345687,Tomás Galván,El Talar,Jujuy,El Talar,<10k,resto,2000
231,Q512760,Mauro Laspada,Punta Alta,Buenos Aires,Punta Alta,50–100k,resto,1975
232,Q5371721,Emiliano Tabone,Balcarce,Buenos Aires,Balcarce,10–50k,resto,1991
233,Q54319924,Mauricio Toni,Comodoro Rivadavia,Chubut,Comodoro Rivadavia,100–500k,resto,1998
234,Q25407618,Santiago Stelcaldo,Brinkmann,Córdoba,Brinkmann,10–50k,resto,1994
235,Q533643,Mario Santana,Comodoro Rivadavia,Chubut,Comodoro Rivadavia,100–500k,resto,1981
236,Q23668580,Agustín Bouzat,Bahía Blanca,Buenos Aires,Bahía Blanca,100–500k,resto,1994
237,Q118248097,Guillermo Enrique,Goya,Corrientes,Goya,<10k,resto,2000
238,Q5664958,Alejandro Donatti,Rafaela,Santa Fe,Rafaela,100–500k,resto,1986
239,Q616555,Daniel Islas,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1979
240,Q24457415,Martín Pucheta,Córdoba,Córdoba,Córdoba,>500k,metropoli,1988
241,Q15629614,Daniel Cigogna,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1982
242,Q116482097,Lucas Abascia,Rosario,Santa Fe,Rosario,>500k,metropoli,1995
243,Q22131274,Matias Hernan Mayedonchi,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1989
244,Q55281491,Matías Ruiz Díaz,La Plata,Buenos Aires,La Plata,>500k,metropoli,1996
245,Q97587411,Juan Flere,San Carlos de Bariloche,Río Negro,San Carlos de Bariloche,100–500k,resto,1998
246,Q18417991,Gustavo Arce,Tartagal,Salta,Tartagal,50–100k,resto,1979
247,Q66314612,Santiago Rinaudo,Córdoba,Córdoba,Córdoba,>500k,metropoli,1998
248,Q59782670,Ezequiel Aguirre,Rosario,Santa Fe,Rosario,>500k,metropoli,1992
249,Q95724253,Franco Sosa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1999
250,Q5274618,Diego Cochas,Saldán,Córdoba,Villa Allende,>500k,metropoli,1979
251,Q107656025,Eros Mancuso,Haedo,Buenos Aires,Morón,>500k,metropoli,1999
252,Q2881772,Pablo Alvarado,El Calafate,Santa Cruz,El Calafate,10–50k,resto,1986
253,Q6525941,Leonardo Carboni,Río Cuarto,Córdoba,Río Cuarto,100–500k,resto,1984
254,Q133554595,Brian Alexis Duarte,Adrogué,Buenos Aires,Almirante Brown,>500k,metropoli,1995
255,Q136503456,Santiago Grella,Devoto,Córdoba,Devoto,<10k,resto,2005
256,Q131100706,Santino Barbi,El Tío,Córdoba,El Tí­o,<10k,resto,2005
257,Q124407373,Enzo López,Paraná,Entre Ríos,Paraná,100–500k,resto,1998
258,Q5876263,Gastón Stang,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1980
259,Q5973123,Leonardo Acosta,Paraná,Entre Ríos,Paraná,100–500k,resto,1989
260,Q37766676,Alan Robledo,José León Suárez,Buenos Aires,General San Martín,>500k,metropoli,1998
261,Q5812234,Luis Aseff,San Nicolás de los Arroyos,Buenos Aires,San Nicolás de los Arroyos,100–500k,resto,1983
262,Q85713528,Cristian Medina,Moreno,Buenos Aires,Moreno,>500k,metropoli,2002
263,Q29950446,Santiago Villarreal,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1996
264,Q5406100,Eduardo Casais,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1985
265,Q115059100,Simón Rivero,Malagueño,Córdoba,Malagueno,>500k,metropoli,2003
266,Q732701,Fernando Ávalos,Paso de los Libres,Corrientes,Paso de los Libres,50–100k,resto,1978
267,Q4714668,Alejandro Schiapparelli,Córdoba,Córdoba,Córdoba,>500k,metropoli,1980
268,Q6110811,Rodrigo Soria,Villa Domínico,Buenos Aires,Avellaneda,>500k,metropoli,1987
269,Q56368153,Oscar Piris,Formosa,Formosa,Formosa,100–500k,resto,1989
270,Q19117831,Sebastián Aciar,Puerto Madryn,Chubut,Puerto Madryn,50–100k,resto,1992
271,Q5972258,Leandro Navarro,Mar del Plata,Buenos Aires,Mar del Plata,>500k,metropoli,1992
272,Q16300515,Fabio Giménez,Puerto Madryn,Chubut,Puerto Madryn,50–100k,resto,1990
273,Q2083383,Sebastián Tagliabúe,Olivos,Buenos Aires,Vicente López,>500k,metropoli,1985
274,Q5557897,Agustin Curima,La Plata,Buenos Aires,La Plata,>500k,metropoli,1992
275,Q47541846,Pedro Nahuel Fernández,Villa Adelina,Buenos Aires,San Isidro,>500k,metropoli,1987
276,Q19360297,Alex Werner,Rafaela,Santa Fe,Rafaela,100–500k,resto,1996
277,Q131930043,Tobías Morinigo,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,2005
278,Q116730940,Mauricio Nicolas Fernández,Villa Ballester,Buenos Aires,General San Martín,>500k,metropoli,1994
279,Q20898191,Estanislao Ayuso,Teodelina,Santa Fe,Teodelina,<10k,resto,1975
280,Q59450,Sebastián Sciorilli,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1989
281,Q3809944,Jonathan Phillippe,Navarro,Buenos Aires,Navarro,10–50k,resto,1988
282,Q2446221,Guillermo Burdisso,Altos de Chipión,Córdoba,Altos de Chipión,<10k,resto,1988
283,Q6007209,Mauro Scaloni,Pujato,Santa Fe,Pujato,<10k,resto,1976
284,Q1773270,Javier Gandolfi,San Lorenzo,Santa Fe,San Lorenzo,>500k,metropoli,1980
285,Q5834628,Enzo Noir,Colón,Entre Ríos,Colón,10–50k,resto,1982
286,Q3949392,Santiago Bianchi,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1983
287,Q5772053,Claudio Mosca,Bernal,Buenos Aires,Quilmes,>500k,metropoli,1991
288,Q9012932,Jorge Torres,Rosario,Santa Fe,Rosario,>500k,metropoli,1982
289,Q5042673,Carlos Soto,Clorinda,Formosa,Clorinda,50–100k,resto,1984
290,Q18221315,Mariano Barbieri,Chivilcoy,Buenos Aires,Chivilcoy,50–100k,resto,1990
291,Q5834049,Enry Rui,Morteros,Córdoba,Morteros,10–50k,resto,1990
292,Q6696826,Luciano Goux,Lanús,Buenos Aires,Lanus,>500k,metropoli,1980
293,Q65029199,Tomás Blanco,Chajarí,Entre Ríos,Chajarí,10–50k,resto,1999
294,Q28663844,Matías Di Benedetto,José Mármol,Buenos Aires,Almirante Brown,>500k,metropoli,1992
295,Q61230952,Thomas Silvero,Posadas,Misiones,Posadas,100–500k,resto,2000
296,Q20014992,Facundo Pumpido,Olivos,Buenos Aires,Vicente López,>500k,metropoli,1988
297,Q9012765,Jorge Bontemps,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1977
298,Q17504750,Pablo Andrés Aguilar,Villa Mercedes,San Luis,Villa Mercedes,100–500k,resto,1984
299,Q5830908,Emiliano Olivero,Colón,Buenos Aires,Colón,10–50k,resto,1986
300,Q9015137,Juan Alvacete,Mendoza,Mendoza,Mendoza,>500k,metropoli,1991
