caso,localidad_encontrada,provincia_encontrada,club_debut_encontrado,fuente_url,encontrado,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year,prov_resuelta,ciudad_id_real,nivel_matcheo,tramo_real,estrato_real
110,,,,,0,Q5951887,Juan Pablo Zárate,Córdoba,Córdoba,Córdoba,>500k,metropoli,1991,,,no_verificable,,
111,Rosario,Santa Fe,San Telmo,-,1,Q56728837,Stefano Callegari,Rosario,Santa Fe,Rosario,>500k,metropoli,1997,82,AGLO_3,exacto,>500k,metropoli
112,Moreno,Buenos Aires,Racing Club,-,1,Q630956,Valentín Viola,Moreno,Buenos Aires,Moreno,>500k,metropoli,1991,06,AGLO_1,exacto,>500k,metropoli
113,San Martín,Buenos Aires,Argentinos Juniors,-,1,Q26972389,Andrés Grande,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1976,06,AGLO_1,alias_manual,>500k,metropoli
114,Santa Fe,Santa Fe,Unión de Santa Fe,-,1,Q5783604,Conrado Peralta Pino,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1985,82,AGLO_8,exacto,>500k,metropoli
115,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Deportivo Español,-,1,Q5963680,Héber Arriola,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1980,02,AGLO_1,exacto,>500k,metropoli
116,,,,,0,Q27663481,Nico Olsak,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1991,,,no_verificable,,
117,Florentino Ameghino,Buenos Aires,San Lorenzo,-,1,Q101250897,Alexis Sabella,Florentino Ameghino,Buenos Aires,Florentino Ameghino,<10k,resto,2001,06,LOC_06277020,exacto,<10k,resto
118,,,,,0,Q60735821,Franco Ferrari,Rosario,Santa Fe,Rosario,>500k,metropoli,1992,,,no_verificable,,
119,Chañar Ladeado,Santa Fe,Gimnasia y Esgrima de La Plata,-,1,Q588855,Lucas Landa,Chañar Ladeado,Santa Fe,Chañar Ladeado,<10k,resto,1986,82,LOC_82014070,exacto,<10k,resto
120,,,,,0,Q5526910,Gastón Pisani,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1983,,,no_verificable,,
121,Ramona,Santa Fe,Gimnasia y Esgrima,-,1,Q2474192,Abel Masuero,Ramona,Santa Fe,Ramona,<10k,resto,1988,82,LOC_82021320,exacto,<10k,resto
122,Egusquiza,Santa Fe,Atlético Rafaela,-,1,Q132101618,Gino Albertengo,Egusquiza,Santa Fe,Egusquiza,<10k,resto,2003,82,LOC_82021140,exacto,<10k,resto
123,Ensenada,Buenos Aires,Defensores de Cambaceres,-,1,Q17364555,Martín Zuccarelli,La Plata,Buenos Aires,La Plata,>500k,metropoli,1978,06,AGLO_1,exacto,>500k,metropoli
124,,Santa Fe,Newells Old Boys,-,1,Q126365798,Ian Glavinovich,Elortondo,Santa Fe,Elortondo,<10k,resto,2001,82,,solo_provincia,,
125,La Plata,Buenos Aires,Gimnasia y Esgrima de La Plata,-,1,Q2327959,Federico Turienzo,La Plata,Buenos Aires,La Plata,>500k,metropoli,1983,06,AGLO_1,exacto,>500k,metropoli
126,Paraná,Entre Rios,Atlético Belgrano,-,1,Q116410175,Walter Rueda,Paraná,Entre Ríos,Paraná,100–500k,resto,1997,30,AGLO_16,exacto,100–500k,resto
127,Olavarria,Buenos Aires,El Fortin de Olavarria,-,1,Q6110031,Roberto Tucker,Olavarría,Buenos Aires,Olavarrí­a,100–500k,resto,1983,06,LOC_06595070,exacto,100–500k,resto
128,Parana,Entre Rios,Unión de Santa Fe,-,1,Q5857560,Federico Chiapello,San Jerónimo Norte,Santa Fe,San Jerónimo Norte,<10k,resto,1993,30,AGLO_16,exacto,100–500k,resto
129,Pilar,Buenos Aires,Rivadavia Lincoln,-,1,Q16233715,Esteban Ciaccheri,Pilar,Buenos Aires,Pilar,>500k,metropoli,1991,06,AGLO_1,exacto,>500k,metropoli
130,,,,,0,Q26155667,Rodrigo De Ciancio,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1995,,,no_verificable,,
131,Zapala,Neuquén,Ferro Carril Oeste,-,1,Q17462635,Marcos Acuña,Zapala,Neuquén,Zapala,10–50k,resto,1991,58,LOC_58112040,exacto,10–50k,resto
132,Rafaela,Santa Fe,Atlético Rafaela,-,1,Q28055553,Mauro Borgnino,Rafaela,Santa Fe,Rafaela,100–500k,resto,1997,82,LOC_82021310,exacto,100–500k,resto
133,Roque Saenz Peña,Buenos Aires,Velez Sarsfield,-,1,Q208087,Jonás Gutiérrez,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1983,06,AGLO_1,alias_manual,>500k,metropoli
